,team,season,opp,datetime,day_week,W/L,ot,record,home/away,team_score,opp_score,1D_gained,team_total_yards,team_pass_yards,team_rush_yards,team_turnover,1D_allowed,opp_total_yards,opp_pass_yards,opp_rush_yards,opp_turnover,offense_expected_points,defense_expected_points,sp_expected_points
108,DET,2008,MIN,2008-12-07 13:03:00,Sun,0,0.0,0-13,HOME,16.0,20.0,15.0,268.0,191.0,77.0,0.0,20.0,301.0,168.0,133.0,2.0,-2.11,-3.43,0.84
109,DET,2008,IND,2008-12-14 13:02:00,Sun,0,0.0,0-14,AWAY,21.0,31.0,18.0,323.0,233.0,90.0,2.0,28.0,421.0,315.0,106.0,2.0,1.25,-25.19,13.62
110,DET,2008,NOR,2008-12-21 13:03:00,Sun,0,0.0,0-15,HOME,7.0,42.0,15.0,255.0,126.0,129.0,2.0,32.0,532.0,351.0,181.0,1.0,0.02,-36.0,-0.17
111,DET,2008,GNB,2008-12-28 13:02:00,Sun,0,0.0,0-16,AWAY,21.0,31.0,19.0,316.0,220.0,96.0,2.0,20.0,484.0,273.0,211.0,1.0,-0.33,-13.29,0.64
112,DET,2009,NOR,2009-09-13 13:03:00,Sun,0,0.0,0-1,AWAY,27.0,45.0,14.0,231.0,198.0,33.0,3.0,28.0,515.0,358.0,157.0,3.0,-17.11,-19.75,15.57
113,DET,2009,MIN,2009-09-20 13:03:00,Sun,0,0.0,0-2,HOME,13.0,27.0,17.0,265.0,136.0,129.0,3.0,18.0,265.0,153.0,112.0,1.0,-12.29,-1.67,-4.67
114,DET,2009,WAS,2009-09-27 13:02:00,Sun,1,0.0,1-2,HOME,19.0,14.0,23.0,381.0,227.0,154.0,0.0,22.0,390.0,325.0,65.0,1.0,9.82,-4.88,-2.67
115,DET,2009,CHI,2009-10-04 13:02:00,Sun,0,0.0,1-3,AWAY,24.0,48.0,25.0,398.0,308.0,90.0,2.0,14.0,276.0,125.0,151.0,0.0,-0.73,-8.72,-12.31
116,DET,2009,PIT,2009-10-11 13:02:00,Sun,0,0.0,1-4,HOME,20.0,28.0,21.0,335.0,225.0,110.0,1.0,18.0,344.0,262.0,82.0,1.0,0.08,-8.34,-0.93
117,DET,2009,GNB,2009-10-18 13:02:00,Sun,0,0.0,1-5,AWAY,0.0,26.0,10.0,149.0,71.0,78.0,3.0,23.0,435.0,328.0,107.0,2.0,-22.57,-7.18,2.87
118,DET,2009,LAR,2009-11-01 13:03:00,Sun,0,0.0,1-6,HOME,10.0,17.0,17.0,289.0,162.0,127.0,1.0,21.0,362.0,212.0,150.0,1.0,-4.45,-6.65,2.27
119,DET,2009,SEA,2009-11-08 16:06:00,Sun,0,0.0,1-7,AWAY,20.0,32.0,17.0,300.0,186.0,114.0,5.0,25.0,397.0,342.0,55.0,2.0,-12.79,1.0,2.13
120,DET,2009,MIN,2009-11-15 13:05:00,Sun,0,0.0,1-8,AWAY,10.0,27.0,19.0,297.0,204.0,93.0,1.0,19.0,492.0,340.0,152.0,2.0,-14.09,-4.73,0.3
121,DET,2009,CLE,2009-11-22 13:02:00,Sun,1,0.0,2-8,HOME,38.0,37.0,26.0,473.0,416.0,57.0,2.0,22.0,439.0,308.0,131.0,0.0,20.23,-17.59,0.3
122,DET,2009,GNB,2009-11-26 12:35:00,Thu,0,0.0,2-9,HOME,12.0,34.0,16.0,272.0,199.0,73.0,5.0,20.0,422.0,342.0,80.0,2.0,-22.02,-22.28,15.04
123,DET,2009,CIN,2009-12-06 13:02:00,Sun,0,0.0,2-10,AWAY,13.0,23.0,14.0,245.0,165.0,80.0,2.0,22.0,321.0,202.0,119.0,3.0,-15.71,7.49,-6.59
124,DET,2009,BAL,2009-12-13 13:02:00,Sun,0,0.0,2-11,AWAY,3.0,48.0,13.0,229.0,126.0,103.0,2.0,24.0,548.0,240.0,308.0,1.0,-16.93,-30.22,-1.62
125,DET,2009,ARI,2009-12-20 13:02:00,Sun,0,0.0,2-12,HOME,24.0,31.0,15.0,282.0,121.0,161.0,3.0,21.0,340.0,218.0,122.0,3.0,-10.38,6.67,-3.32
